2017-09-08T09:56:24.444+0800 I CONTROL  [initandlisten] MongoDB starting : pid=14352 port=27017 dbpath=./db 64-bit host=DESKTOP-JDL7HVO
2017-09-08T09:56:24.445+0800 I CONTROL  [initandlisten] targetMinOS: Windows 7/Windows Server 2008 R2
2017-09-08T09:56:24.445+0800 I CONTROL  [initandlisten] db version v3.4.7
2017-09-08T09:56:24.445+0800 I CONTROL  [initandlisten] git version: cf38c1b8a0a8dca4a11737581beafef4fe120bcd
2017-09-08T09:56:24.445+0800 I CONTROL  [initandlisten] OpenSSL version: OpenSSL 1.0.1u-fips  22 Sep 2016
2017-09-08T09:56:24.445+0800 I CONTROL  [initandlisten] allocator: tcmalloc
2017-09-08T09:56:24.445+0800 I CONTROL  [initandlisten] modules: none
2017-09-08T09:56:24.445+0800 I CONTROL  [initandlisten] build environment:
2017-09-08T09:56:24.445+0800 I CONTROL  [initandlisten]     distmod: 2008plus-ssl
2017-09-08T09:56:24.446+0800 I CONTROL  [initandlisten]     distarch: x86_64
2017-09-08T09:56:24.446+0800 I CONTROL  [initandlisten]     target_arch: x86_64
2017-09-08T09:56:24.446+0800 I CONTROL  [initandlisten] options: { storage: { dbPath: "./db" }, systemLog: { destination: "file", path: "./mongod.log" } }
2017-09-08T09:56:24.447+0800 I STORAGE  [initandlisten] wiredtiger_open config: create,cache_size=5593M,session_max=20000,eviction=(threads_min=4,threads_max=4),config_base=false,statistics=(fast),log=(enabled=true,archive=true,path=journal,compressor=snappy),file_manager=(close_idle_time=100000),checkpoint=(wait=60,log_size=2GB),statistics_log=(wait=0),
2017-09-08T09:56:25.283+0800 I CONTROL  [initandlisten] 
2017-09-08T09:56:25.283+0800 I CONTROL  [initandlisten] ** WARNING: Access control is not enabled for the database.
2017-09-08T09:56:25.283+0800 I CONTROL  [initandlisten] **          Read and write access to data and configuration is unrestricted.
2017-09-08T09:56:25.283+0800 I CONTROL  [initandlisten] 
2017-09-08T09:56:25.744+0800 I FTDC     [initandlisten] Initializing full-time diagnostic data capture with directory './db/diagnostic.data'
2017-09-08T09:56:25.933+0800 I INDEX    [initandlisten] build index on: admin.system.version properties: { v: 2, key: { version: 1 }, name: "incompatible_with_version_32", ns: "admin.system.version" }
2017-09-08T09:56:25.933+0800 I INDEX    [initandlisten] 	 building index using bulk method; build may temporarily use up to 500 megabytes of RAM
2017-09-08T09:56:25.963+0800 I INDEX    [initandlisten] build index done.  scanned 0 total records. 0 secs
2017-09-08T09:56:25.964+0800 I COMMAND  [initandlisten] setting featureCompatibilityVersion to 3.4
2017-09-08T09:56:25.966+0800 I NETWORK  [thread1] waiting for connections on port 27017
2017-09-08T09:57:23.354+0800 I NETWORK  [thread1] connection accepted from 127.0.0.1:53912 #1 (1 connection now open)
2017-09-08T09:57:23.356+0800 I NETWORK  [conn1] received client metadata from 127.0.0.1:53912 conn1: { application: { name: "Robomongo" }, driver: { name: "MongoDB Internal Client", version: "3.4.3-7-gf394f8c" }, os: { type: "Windows", name: "Microsoft Windows 8", architecture: "x86_64", version: "6.2 (build 9200)" } }
2017-09-08T09:57:23.432+0800 I NETWORK  [thread1] connection accepted from 127.0.0.1:53913 #2 (2 connections now open)
2017-09-08T09:57:23.433+0800 I NETWORK  [conn2] received client metadata from 127.0.0.1:53913 conn2: { application: { name: "MongoDB Shell" }, driver: { name: "MongoDB Internal Client", version: "3.4.3-7-gf394f8c" }, os: { type: "Windows", name: "Microsoft Windows 8", architecture: "x86_64", version: "6.2 (build 9200)" } }
2017-09-08T10:07:45.850+0800 I NETWORK  [thread1] connection accepted from 127.0.0.1:57036 #3 (3 connections now open)
